Working,Species,Common
abuabd_CB_coleman_newH,Abudefduf abdominalis,Sergeant Major
abuvai_CB_coleman_newH,Abudefduf vaigiensis,Sergeant Major
acanigF_CB_eble,Acanthurus nigrofuscus ,Brown Tang
acanigR_CB_DiBattista_new,Acanthurus nigroris,Blue-lined Surgeonfish
acaoli_CB_gaither,Acanthurus olivaceus,Orange Band Surgeonfish
acapla_CR_timmers,Acanthaster planci,Crown-of-Thorns Seastar
anon3_CI_blank,Calcinus hazletti,Whitefoot Hermit Crab
anon4_CI_blank,Calcinus seurati,Zebra Hermit Crab
anon8_CI_blank,Halichoeres ornatissimus,Ornate Wrasse
carmel_ATP_Santos,Caranx melampygus,Bluefin Trevally
celexa_CI_Bird,Cellana exarata ,Black-foot Opihi Limpet
celsan_CI_Bird,Cellana sandwicensis ,Yellow-foot Opihi Limpet
celtal_CI_Bird,Cellana talcosa ,Talc Opihi Limpet
chafre_CB_craig_newH,Chaetodon fremblii,Blue-striped Butterflyfish
chalun_CB_Szabo,Chaetodon lunulatus,Oval Butterflyfish
chamil_CB_craigH,Chaetodon miliaris,Lemon Butterflyfish
chamul_CB_craigH,Chaetodon multicinctus,Pebbled Butterflyfish
ctestr_CB_eble,Ctenochaetus strigosus ,Yellow-eyed Tang
dasalb_CR_Bernardi_Ramon,Dascyllus albisella ,White-spotted Damsel
epique_CR_Andrews,Epinephelus quernus ,Hawaiian Grouper
etemar_CB_andrews,Etelis marshi,Pygmy Ruby Snapper
gymfla_3loc_Reece,Gymnothorax flavimarginatus,Yellow-edged Moray
gymund_3loc_Reece,Gymnothorax undulatus,Undulated Moray
hetmam_CI_bollick,Heterocentrotus mammillatus,Slate Pencil Urchin
holatr_CI_SkillingsH,Holothuria atra,Black Sea Cucumber
holwhi_CI_SkillingsH,Holothuria whitmaei,Teated Sea Cucumber
lutkas_CB_gaither,Lutjanus kasmira,Blue-striped Snapper
mulfla_CB,Mulloidichthys flavolineatus,Yellowstriped Goatfish
mulvan_CB,Mulloidichthys vanicolensis,Yellowfin Goatfish
myrber_CB_CraigH,Myripristis berndtii,Blotcheye Solderfish
opheri_16Snew,Ophiocoma erinaceus,Spiny Brittle Star
ophpic_16S_Skillings,Ophiocoma pica,Yellow-spotted Brittle Star
panmar_CI_Iacchei,Panulirus marginatus,Banded Spiny Lobster
panpen_CI_Iacchei,Panulirus penicillatus,Pronghorn Spiny Lobster
parmul_CB_szabo,Parupeneus multifasciatus,Manybar Goatfish
prifil_CB_gaither,Pristipomoides filamentosus,Hawaiian Pink Snapper
squmit_CR_dalyengel,Squalus mitsukurii ,Shortspine Spurdog Shark
stefas_CR_Ramon,Stegastes fasciolatus ,Pacific Gregory Damsel
stelon_CR_Andrews,Stenella longirostris,Spinner Dolphin
triobe_CR_Whitney,Triaenodon obesus,Whitetip Reef Shark
zebfla_CB_Eble_nolump,Zebrasoma flavescens ,Yellow Tang
