Hawaii	Maui	Oahu	Kauai	Nihoa	Necker	French Frigate Shoals	Gardner	Maro	Laysan	Lisianski	Pearl and Hermes	Midway	Kure
abuabd_CB	R	R	R	R	G	R	R	G	R	R	R	R	R	R
abuabd_NS3	R	R	R	R	G	R	R	G	R	R	R	R	R	R
abuvai_CB	R	R	R	R	G	R	R	R	G	R	X	R	R	G
abuvai_NS3	R	R	R	R	G	R	R	R	G	R	X	R	R	G
acanigF_CB	R	R	R	R	R	X	R	R	X	X	X	R	X	X
acanigR_CB	R	G	R	R	R	G	R	R	R	R	R	R	R	R
acaoli_CB	R	R	R	R	R	R	R	R	R	R	R	R	R	R
acapla_CR	R	R	R	R	X	X	R	X	X	X	X	R	X	X
anon1_M9	R	R	R	G	R	X	R	X	R	R	R	R	R	R
anon2_CI	R	R	G	G	X	X	X	X	X	X	X	X	X	X
anon3_CI	R	R	G	R	R	G	R	G	R	X	X	R	X	R
anon4_CI	R	R	R	R	X	X	X	X	X	X	X	X	X	X
anon5_M12	R	G	R	G	R	R	R	R	R	X	X	R	R	R
anon8_CI	R	R	R	R	R	R	R	X	X	X	X	R	X	G
anon9_CR	R	R	R	R	R	R	R	X	X	X	X	R	R	G
carign_ATP	R	G	R	G	X	X	X	X	X	X	X	X	X	X
carmel_ATP	R	G	R	R	X	X	X	X	X	X	X	X	X	X
celexa_CI	R	R	G	R	R	R	R	R	X	X	X	X	X	X
celsan_CI	R	R	G	R	X	R	R	X	X	X	X	X	X	X
celtal_CI	R	R	G	R	X	X	X	X	X	X	X	X	X	X
ceparg_CB	R	R	R	R	R	R	G	X	X	X	X	X	X	X
chafre_CB	G	G	G	R	R	X	R	R	R	R	R	R	R	R
chalun_CB	R	G	R	G	X	X	R	X	R	X	R	R	R	R
chamil_CB	R	R	R	R	R	R	R	R	R	R	R	R	R	R
chamul_CB	R	R	R	R	R	X	R	R	X	R	X	R	X	X
ctestr_CB	R	R	R	R	R	X	R	R	R	X	X	R	R	R
dasalb_CR	R	G	R	G	X	X	R	X	X	X	X	R	R	R
echneb_CBCI	R	G	R	G	X	X	X	X	X	X	X	X	X	X
epique_CR	R	R	R	R	R	R	X	R	R	X	R	R	X	X
epique_M8	R	R	R	R	R	R	X	R	R	X	R	R	X	X
etecor_CB	R	R	R	R	R	X	X	R	R	X	R	R	X	X
etecor_M10	R	R	R	R	R	X	X	R	R	X	R	R	X	X
etemar_CB	R	R	R	R	X	R	X	R	R	X	R	X	X	X
etemar_M11	R	R	R	R	X	R	X	R	R	X	R	X	X	X
gymfla_CBCI	R	G	R	G	X	G	X	X	R	R	X	G	X	X
gymund_CBCI	R	G	R	G	X	R	X	X	R	X	X	X	G	X
gymfla_NS1	G	G	G	G	X	X	X	X	X	X	X	X	X	X
gymfla_NS2	G	G	G	G	X	X	X	X	X	X	X	X	X	X
gymund_NS1	G	G	G	G	X	X	X	X	X	X	X	X	X	X
gymund_NS2	G	G	G	G	X	X	X	X	X	X	X	X	X	X
hetmam_CI	R	G	R	R	X	X	X	X	X	X	X	R	R	R
holatr_CI	R	G	R	R	X	X	R	G	X	R	X	R	R	R
holwhi_CI	R	G	G	R	X	X	R	X	X	R	X	R	R	R
lutful_CB	R	R	R	R	X	X	X	X	X	X	X	X	X	X
lutkas_CB	R	R	R	R	X	R	R	X	R	X	X	X	R	R
lutkas_NS3	R	R	R	R	X	R	R	X	R	X	X	X	R	R
mulfla_CB	R	R	R	R	X	X	R	R	R	R	X	R	R	R
mulvan_CB	R	R	R	R	R	R	R	R	G	R	G	R	R	R
myrber_CB	R	R	G	R	X	X	R	X	X	X	X	R	R	R
opheri_16S	R	R	R	R	R	X	X	X	R	R	X	R	R	R
ophpic_16S	R	R	G	R	R	X	R	X	R	R	R	R	R	R
panmar_CI	G	R	R	R	X	R	G	R	R	R	R	R	R	R
panpen_CI	R	R	G	R	X	R	R	X	R	X	R	R	X	X
parmul_CB	R	G	R	R	R	R	R	R	R	R	R	R	R	R
prifil_CB	R	R	R	R	R	G	X	R	R	X	X	X	X	X
prifil_M13	R	R	R	R	R	X	X	R	R	X	X	X	X	X
squmit_CR	G	R	R	G	R	X	X	X	X	X	G	X	X	X
squmit_M8	G	R	R	G	R	X	X	X	X	X	G	X	X	X
stefas_CR	R	G	R	R	X	X	R	X	X	X	X	R	R	R
stelon_CR	R	R	R	R	X	X	R	X	X	X	X	R	R	R
stelon_M10	R	R	R	R	X	X	R	X	X	X	X	R	R	R
triobe_CR	R	R	R	G	X	R	R	R	R	R	X	R	X	X
zebfla_CB	R	R	R	R	R	X	R	X	R	X	X	R	R	R
zebfla_M13	R	R	R	R	R	X	R	X	R	X	X	R	R	R
