"","panmixia","hi_lo","1current","2currents","n.island","stepping.stone.1param","stepping.stone","empirical","k-means p-value","Best Mean","Second Best Mean","p-value Best Mean > Second Mean","Log Bayes Factor"
"abuabd_CB_coleman_newH","-1449.365583","-1434.36407666667","-1445.420849","-1443.87175766667","-1443.88279133333","-1445.66048","-1440.099588",NA,"0.001","hi_lo","stepping.stone","0.047","11.4710226666666"
"abuvai_CB_coleman_newH","-1196.30512666667","-1197.99532166667","-1199.65719866667","-1197.27229133333","-1201.35951433333","-1208.22344433333","-1195.17809633333",NA,"0.001","stepping.stone","panmixia","0.197","2.25406066666665"
"acanigF_CB_eble","-1606.70720633333","-1607.39612166667","-1613.17076366667","-1607.16293266667","-1614.03903066667","-1618.48270133333","-1609.06259433333","-1610.76607433333","0.676","panmixia","2currents","0.386","0.911452666666719"
"acanigR_CB_DiBattista_new","-1765.91371833333","-1766.49642633333","-1765.02118133333","-1760.19703333333","-1771.095046","-1782.47806666667","-1755.736433",NA,"0.001","stepping.stone","2currents","0.091","8.92120066666666"
"acaoli_CB_gaither","-1525.57321833333","-1539.615394","-1545.08517633333","-1530.723783","-1542.14046933333","-1528.73502633333","-1514.76432966667",NA,"0.189","stepping.stone","panmixia","0.095","21.6177773333329"
"acapla_CR_timmers","-4564.52223","-4594.37245433333","-4577.83964766667","-4594.086758","-4829.52691733333","-4741.757635","-4593.04557266667",NA,"0.001","panmixia","1current","0.387","26.6348353333342"
"anon3_CI_blank","-1631.09683666667","-1619.30990766667","-1622.47204833333","-1624.27409533333","-1644.58458866667","-1634.81302466667","-1610.79797633333","-1624.901754","0.001","stepping.stone","hi_lo","0.047","17.0238626666669"
"anon4_CI_blank","-2799.97600633333",NA,NA,NA,"-2957.44727333333","-2906.05031433333","-2831.486767",NA,"0.007","panmixia","stepping.stone","0.047","63.0215213333331"
"anon8_CI_blank","-1185.557687","-1186.60287366667","-1186.17497566667",NA,"-1188.99850433333","-1197.27833233333","-1183.33909033333",NA,"0.001","stepping.stone","panmixia","0.047","4.4371933333332"
"carmel_ATP_Santos","-1025.80725833333",NA,NA,NA,"-1041.71219466667","-1034.078068","-1021.64711533333",NA,"0.001","stepping.stone","panmixia","0.047","8.3202859999999"
"celexa_CI_Bird","-1698.41839566667","-1635.14878833333","-1659.84800466667",NA,"-1663.979192","-1654.08867266667","-1615.60527133333","-1619.024748","0.001","stepping.stone","empirical","0.047","6.83895333333339"
"celsan_CI_Bird","-1665.36678566667","-1664.963071",NA,NA,"-1656.88231466667","-1669.05143133333","-1657.570129",NA,"0.001","n.island","stepping.stone","0.25","1.37562866666667"
"celtal_CI_Bird","-1603.07987433333",NA,NA,NA,"-1602.63482333333","-1595.487688","-1565.73385666667",NA,"0.001","stepping.stone","stepping.stone.1param","0.047","59.5076626666664"
"chafre_CB_craig_newH","-2360.13265833333","-2374.03116733333","-2371.001771","-2377.92788133333","-2388.67841033333","-2438.07134633333","-2370.885786",NA,"0.001","panmixia","stepping.stone","0.047","21.5062553333328"
"chalun_CB_Szabo","-954.972702333333","-955.700186","-957.460841333333","-955.736201666667","-965.376429666667","-957.352976333333","-950.785768333333",NA,"0.001","stepping.stone","panmixia","0.047","8.37386800000013"
"chamil_CB_craigH","-1825.45896033333","-1821.33806","-1814.88417666667","-1820.73657833333","-1823.018518","-1837.98117866667","-1799.96473333333",NA,"0.001","stepping.stone","1current","0.047","29.8388866666669"
"chamul_CB_craigH","-1383.07585133333","-1383.48887966667","-1381.13352866667","-1379.26567533333","-1391.886628","-1389.96800766667","-1374.659903",NA,"0.001","stepping.stone","2currents","0.047","9.21154466666667"
"ctestr_CB_eble","-1705.10243066667","-1708.00978933333","-1706.37916166667","-1702.825068","-1683.77414533333","-1716.15452366667","-1709.565684","-1718.31132933333","0.024","n.island","2currents","0.139","38.1018453333336"
"dasalb_CR_Bernardi_Ramon","-1594.71323533333","-1609.49379466667","-1606.220327",NA,"-1694.68056333333","-1622.70736066667","-1595.45732066667","-1602.34975633333","0.001","panmixia","stepping.stone","0.267","1.48817066666652"
"epique_CR_Andrews","-2255.25684133333","-2275.078262","-2280.28833466667","-2278.81360866667","-2345.16760966667","-2402.463274","-2294.20603","-2280.68608033333","0.005","panmixia","hi_lo","0.047","39.6428413333333"
"etemar_CB_andrews","-1242.860437","-1246.633528","-1242.18584566667","-1237.363345","-1254.47959433333","-1303.35886866667","-1271.03611566667",NA,"0.001","2currents","1current","0.102","9.64500133333331"
"gymfla_3loc_Reece","-33787.8566666667","-34249.7133333333","-34166.2933333333",NA,"-31975.08","-30629.4933333333","-32912.0333333333",NA,"0.001","stepping.stone.1param","n.island","0.047","2691.17333333334"
"gymund_3loc_Reece","-5788.07","-6202.30666666667","-6083.76666666667",NA,"-6342.72666666667","-6339.86333333333","-5788.84333333333",NA,"0.001","panmixia","stepping.stone","0.51","1.54666666666526"
"hetmam_CI_bollick","-1150.349971","-1155.04672066667",NA,NA,"-1167.886045","-1167.81900466667","-1145.66872133333",NA,"0.001","stepping.stone","panmixia","0.047","9.36249933333329"
"holatr_CI_SkillingsH","-1221.26851433333","-1227.67617166667","-1226.42935166667","-1225.318931","-1253.28528433333","-1243.72839966667","-1216.66404466667","-1223.37534666667","0.001","stepping.stone","panmixia","0.047","9.20893933333309"
"holwhi_CI_SkillingsH","-1201.041903","-1208.867886","-1207.40551733333","-1205.879235","-1221.85155566667","-1223.153227","-1195.88088833333",NA,"0.001","stepping.stone","panmixia","0.047","10.3220293333334"
"lutkas_CB_gaither","-4997.04276333333","-5161.26138966667","-5091.29263566667","-5153.453064","-5447.01255733333","-5330.462247","-5109.59333133333",NA,"0.26","panmixia","1current","0.047","188.499744666668"
"mulfla_CB","-2049.587416","-2047.70052766667","-2048.96449233333","-2042.62745266667","-2043.828897","-2080.60055033333","-2045.75782133333","-2019.54391266667","0.001","empirical","2currents","0.047","46.1670799999997"
"mulvan_CB","-1680.423564","-1685.81087","-1683.66436966667","-1687.55099266667","-1688.951886","-1701.843925","-1675.02788666667","-1689.77317666667","0.001","stepping.stone","panmixia","0.047","10.7913546666664"
"myrber_CB_CraigH","-1192.55030066667","-1193.182923","-1193.65987333333",NA,"-1198.85948466667","-1195.87714","-1192.71013633333","-1195.21253366667","0.025","panmixia","stepping.stone","0.511","0.319671333333645"
"opheri_16Snew","-3365.30263633333","-3491.234483","-3458.262739","-3446.60339433333","-3734.63209133333","-3454.38311","-3361.484587","-3522.35555566667","0.001","stepping.stone","panmixia","0.472","7.63609866666684"
"ophpic_16S_Skillings","-2480.84543666667","-2497.39384566667","-2492.954997","-2490.08890966667","-2501.60981866667","-2489.912585","-2458.12394433333",NA,"0.001","stepping.stone","panmixia","0.047","45.4429846666662"
"panmar_CI_Iacchei","-5150.10770433333","-5163.070156","-5151.55961866667","-5132.04673533333","-5090.69753","-5272.78431466667","-5146.28987533333","-5137.411052","0.001","n.island","2currents","0.047","82.6984106666659"
"panpen_CI_Iacchei","-2003.30964166667","-2015.629291","-2013.806332","-2002.666064","-2020.21898766667","-2035.82888166667","-1996.401881",NA,"0.001","stepping.stone","2currents","0.047","12.528366"
"parmul_CB_szabo","-2262.970553","-2272.513712","-2271.65821666667","-2269.55676533333","-2281.99708433333","-2310.75820433333","-2259.74556466667","-2267.96506233333","0.001","stepping.stone","panmixia","0.131","6.44997666666677"
